,AAL,ADM,AXP,AZN,BG,BP,DIS,FDX,GSK,HSBC,IBM,INTC,KO,MAT,MSFT,PG,PRU,RIO,TSCO,VOD
2010-08-31,16.3855,30.81,39.87,24.715,53.0,34.83,32.54,78.05,37.4,49.2,123.13,17.665,27.9412,20.99,23.465,59.67,50.6,50.43,16.995,30.2239
2010-09-01,16.7871,31.35,41.07,25.245,53.88,36.16,33.51,81.37,38.78,50.07,125.77,18.14,28.655,21.21,23.9,59.8,52.79,54.11,17.5575,30.3238
2010-09-02,16.8942,31.54,40.88,25.27,55.65,36.57,33.91,81.72,38.95,50.36,125.04,18.28,28.69,21.66,23.94,60.07,53.51,54.02,17.8525,30.4112
2010-09-03,17.0013,32.0,41.8,25.62,55.65,37.43,34.67,82.75,39.29,50.68,127.58,18.43,28.78,21.94,24.29,60.29,55.03,54.89,18.155,31.0232
2010-09-04,17.0013,32.0,41.8,25.62,55.65,37.43,34.67,82.75,39.29,50.68,127.58,18.43,28.78,21.94,24.29,60.29,55.03,54.89,18.155,31.0232
2010-09-05,17.0013,32.0,41.8,25.62,55.65,37.43,34.67,82.75,39.29,50.68,127.58,18.43,28.78,21.94,24.29,60.29,55.03,54.89,18.155,31.0232
2010-09-06,17.0013,32.0,41.8,25.62,55.65,37.43,34.67,82.75,39.29,50.68,127.58,18.43,28.78,21.94,24.29,60.29,55.03,54.89,18.155,31.0232
2010-09-07,16.2517,31.39,40.09,25.505,54.86,37.19,33.84,81.98,38.91,50.58,125.95,18.12,28.815,21.62,23.96,60.14,53.44,53.03,18.33,30.5486
2010-09-08,16.3052,31.95,40.07,25.64,55.93,38.37,33.84,83.81,39.1,50.46,126.08,17.9,28.915,21.69,23.93,60.37,53.79,53.5,18.62,30.9233
2010-09-09,16.1981,31.85,40.69,25.715,56.7,38.02,34.08,84.28,39.5,50.8,126.36,18.0,29.145,22.02,24.01,60.29,54.65,54.29,18.365,30.9857
2010-09-10,16.332,32.72,40.19,25.89,57.04,38.22,34.15,84.16,39.44,50.86,127.99,17.97,29.26,22.04,23.85,60.4,53.87,54.22,18.41,30.9483
2010-09-11,16.332,32.72,40.19,25.89,57.04,38.22,34.15,84.16,39.44,50.86,127.99,17.97,29.26,22.04,23.85,60.4,53.87,54.22,18.41,30.9483
2010-09-12,16.332,32.72,40.19,25.89,57.04,38.22,34.15,84.16,39.44,50.86,127.99,17.97,29.26,22.04,23.85,60.4,53.87,54.22,18.41,30.9483
2010-09-13,16.6533,32.68,41.22,25.92,58.1,38.35,34.27,84.62,39.48,52.01,129.61,18.5575,29.015,22.05,25.11,60.48,55.18,55.79,18.575,31.0232
2010-09-14,17.162,32.16,40.38,26.24,56.09,38.52,34.05,85.09,39.77,52.18,128.85,18.74,28.795,21.85,25.03,60.64,54.69,56.01,18.87,31.2855
2010-09-15,17.3963,32.54,40.85,26.2,56.65,38.18,34.21,85.94,40.04,52.82,129.43,18.72,28.71,22.14,25.115,61.11,55.56,56.02,19.075,31.5727
2010-09-16,17.6171,33.21,40.96,26.22,57.09,38.27,34.17,82.72,39.91,52.89,129.67,18.97,28.755,22.38,25.33,61.11,55.39,55.83,18.86,31.4728
2010-09-17,17.5904,32.38,41.37,26.025,57.46,38.03,34.56,82.28,39.82,52.63,130.19,18.81,28.78,22.59,25.22,60.97,55.22,55.74,18.845,31.5727
2010-09-18,17.5904,32.38,41.37,26.025,57.46,38.03,34.56,82.28,39.82,52.63,130.19,18.81,28.78,22.59,25.22,60.97,55.22,55.74,18.845,31.5727
2010-09-19,17.5904,32.38,41.37,26.025,57.46,38.03,34.56,82.28,39.82,52.63,130.19,18.81,28.78,22.59,25.22,60.97,55.22,55.74,18.845,31.5727
2010-09-20,17.7778,32.95,43.12,26.145,57.5,38.68,34.9,82.91,40.33,53.06,131.79,18.9301,28.985,23.1,25.43,61.43,56.3,56.34,19.335,32.1847
2010-09-21,18.4203,32.85,42.78,26.175,56.66,38.59,34.5,83.63,40.35,52.59,131.98,19.14,29.055,22.95,25.15,61.52,57.56,56.22,19.31,32.0973
2010-09-22,16.8139,33.39,42.79,26.185,58.63,38.09,33.99,84.3,40.15,52.07,132.57,19.01,29.115,23.02,24.61,61.79,56.45,57.15,18.995,31.9974
2010-09-23,16.6801,33.01,42.36,25.855,59.47,38.13,33.12,82.66,39.43,51.75,131.67,18.98,28.935,23.22,24.43,61.22,54.55,56.81,18.985,31.7351
2010-09-24,17.0817,32.27,43.13,26.345,60.74,38.46,33.58,84.23,40.47,52.61,134.11,19.4225,29.31,23.76,24.775,61.64,56.01,58.69,19.295,32.0848
2010-09-25,17.0817,32.27,43.13,26.345,60.74,38.46,33.58,84.23,40.47,52.61,134.11,19.4225,29.31,23.76,24.775,61.64,56.01,58.69,19.295,32.0848
2010-09-26,17.0817,32.27,43.13,26.345,60.74,38.46,33.58,84.23,40.47,52.61,134.11,19.4225,29.31,23.76,24.775,61.64,56.01,58.69,19.295,32.0848
2010-09-27,17.2691,32.64,43.44,26.02,60.35,38.71,33.29,84.07,40.31,52.2,134.65,19.235,29.3,23.3,24.7325,61.04,55.73,58.48,19.175,31.6726
2010-09-28,16.9478,32.89,43.69,26.01,61.61,39.29,33.22,84.71,40.08,52.03,134.89,19.505,29.55,23.66,24.6775,60.62,55.8,59.6,19.8,31.5977
2010-09-29,16.8675,32.57,43.01,25.61,61.19,40.0,33.01,86.37,39.72,51.24,135.48,19.24,29.38,23.55,24.5,60.25,56.53,59.28,19.61,31.4603
2010-09-30,16.7871,31.92,42.03,25.35,59.16,41.17,33.1,85.5,39.52,50.59,134.14,19.2,29.26,23.46,24.49,59.97,54.18,58.73,19.83,30.9857
2010-10-01,16.5997,31.92,41.78,25.495,57.45,41.95,33.34,85.64,39.79,51.82,135.64,19.32,29.56,23.61,24.38,60.16,53.07,59.83,19.6,31.5977
2010-10-02,16.5997,31.92,41.78,25.495,57.45,41.95,33.34,85.64,39.79,51.82,135.64,19.32,29.56,23.61,24.38,60.16,53.07,59.83,19.6,31.5977
2010-10-03,16.5997,31.92,41.78,25.495,57.45,41.95,33.34,85.64,39.79,51.82,135.64,19.32,29.56,23.61,24.38,60.16,53.07,59.83,19.6,31.5977
2010-10-04,15.9572,31.61,39.05,25.455,57.63,40.82,33.14,85.43,39.79,51.68,135.25,18.87,29.44,23.25,23.91,59.96,52.55,58.59,19.31,31.6976
2010-10-05,16.3588,32.38,38.28,25.825,57.84,41.33,33.83,87.83,40.55,52.96,137.66,19.15,29.83,24.07,24.35,60.82,54.02,60.71,19.465,32.1222
2010-10-06,16.6265,32.3,38.02,25.745,58.09,41.61,33.55,87.38,40.72,52.67,137.84,19.31,29.9,23.49,24.43,60.87,54.13,62.35,19.525,32.372
2010-10-07,16.8139,32.73,37.82,25.95,58.76,41.52,33.91,86.74,41.19,52.55,138.72,19.4,29.72,23.66,24.53,60.8,53.82,61.58,19.51,32.2721
2010-10-08,17.0013,32.86,37.99,26.12,60.37,41.92,34.51,88.69,41.66,52.46,138.85,19.52,29.705,23.95,24.57,61.86,54.04,62.78,19.29,32.3221
2010-10-09,17.0013,32.86,37.99,26.12,60.37,41.92,34.51,88.69,41.66,52.46,138.85,19.52,29.705,23.95,24.57,61.86,54.04,62.78,19.29,32.3221
2010-10-10,17.0013,32.86,37.99,26.12,60.37,41.92,34.51,88.69,41.66,52.46,138.85,19.52,29.705,23.95,24.57,61.86,54.04,62.78,19.29,32.3221
2010-10-11,16.6265,32.56,37.94,26.17,61.31,41.24,34.57,88.4,41.44,52.59,139.66,19.56,29.78,23.99,24.59,62.14,53.45,62.17,19.435,32.4345
2010-10-12,17.0549,32.71,38.54,26.3,60.84,41.26,34.48,87.98,41.46,52.6,139.85,19.77,29.8,23.93,24.83,62.02,53.98,62.17,19.985,32.2877
2010-10-13,16.8942,33.22,39.26,26.445,61.65,41.41,34.91,89.75,41.86,52.86,140.37,19.24,29.97,24.29,25.34,62.63,54.4,64.06,19.885,32.7717
2010-10-14,16.7871,33.28,39.44,26.63,61.04,41.02,34.85,89.39,41.65,53.05,141.5,19.32,29.955,24.0,25.23,62.8,54.18,65.89,19.855,33.4211
2010-10-15,16.7604,33.27,39.09,26.595,60.65,40.62,34.88,89.62,41.53,52.28,141.06,19.32,29.97,22.45,25.54,62.76,53.82,66.41,19.82,33.6178
2010-10-16,16.7604,33.27,39.09,26.595,60.65,40.62,34.88,89.62,41.53,52.28,141.06,19.32,29.97,22.45,25.54,62.76,53.82,66.41,19.82,33.6178
2010-10-17,16.7604,33.27,39.09,26.595,60.65,40.62,34.88,89.62,41.53,52.28,141.06,19.32,29.97,22.45,25.54,62.76,53.82,66.41,19.82,33.6178
2010-10-18,17.0817,33.58,39.55,26.75,60.78,41.49,34.75,89.47,41.62,52.59,142.83,19.19,30.0,22.55,25.82,63.35,54.66,65.44,19.33,33.7209
2010-10-19,17.4565,32.96,39.3075,25.875,60.04,40.94,34.24,87.14,40.72,51.82,138.03,19.21,30.17,22.68,25.1,63.18,53.24,62.06,19.095,32.8591
2010-10-20,19.6519,33.43,39.73,26.385,60.65,41.1,34.62,88.92,40.92,52.34,139.07,19.64,30.575,22.33,25.31,63.37,54.23,64.36,18.995,33.5585
2010-10-21,19.3842,33.43,40.27,26.055,61.24,40.65,34.68,88.57,40.5,52.55,139.83,19.76,30.735,22.73,25.42,63.51,54.34,64.47,18.74,32.959
2010-10-22,19.8661,33.54,39.03,26.06,61.74,40.5,34.97,88.86,40.27,52.21,139.67,19.835,30.805,23.25,25.3775,63.4,52.71,64.36,19.16,32.9965
2010-10-23,19.8661,33.54,39.03,26.06,61.74,40.5,34.97,88.86,40.27,52.21,139.67,19.835,30.805,23.25,25.3775,63.4,52.71,64.36,19.16,32.9965
2010-10-24,19.8661,33.54,39.03,26.06,61.74,40.5,34.97,88.86,40.27,52.21,139.67,19.835,30.805,23.25,25.3775,63.4,52.71,64.36,19.16,32.9965
2010-10-25,19.9732,33.71,39.3,26.025,62.56,40.21,35.46,89.56,40.31,52.43,139.84,19.87,30.505,23.62,25.19,63.54,52.98,66.07,19.73,32.8466
2010-10-26,20.5355,33.37,40.1,25.955,62.21,40.65,35.96,89.64,40.17,52.28,140.67,20.04,30.62,23.365,25.9,62.86,53.52,66.11,19.94,33.4211
2010-10-27,21.2048,33.22,40.68,25.465,61.7,40.1,35.92,88.13,39.36,51.99,141.43,20.19,30.595,23.42,26.05,63.08,53.25,64.72,19.52,33.0839
2010-10-28,21.3655,33.45,41.22,25.215,58.95,40.6,36.51,88.83,39.38,52.42,140.9,20.47,30.605,23.195,26.28,63.19,53.03,65.21,19.48,34.2454
2010-10-29,21.1245,33.32,41.46,25.23,60.07,40.8,36.125,87.72,39.04,52.11,143.6,20.05,30.66,23.33,26.665,63.57,52.58,65.12,19.79,34.3578
2010-10-30,21.1245,33.32,41.46,25.23,60.07,40.8,36.125,87.72,39.04,52.11,143.6,20.05,30.66,23.33,26.665,63.57,52.58,65.12,19.79,34.3578
2010-10-31,21.1245,33.32,41.46,25.23,60.07,40.8,36.125,87.72,39.04,52.11,143.6,20.05,30.66,23.33,26.665,63.57,52.58,65.12,19.79,34.3578
2010-11-01,20.6961,33.39,41.56,24.975,60.65,40.77,36.03,86.42,39.31,52.38,143.32,20.57,30.855,23.4,26.95,63.62,52.66,65.24,19.535,34.3453
2010-11-02,21.0174,31.19,42.39,25.125,59.94,41.42,36.11,87.03,39.05,52.76,143.84,20.34,30.93,24.06,27.39,64.02,52.97,66.63,19.865,34.4702
2010-11-03,22.4096,31.05,42.07,25.17,59.67,42.37,36.29,87.44,39.26,53.91,144.17,20.48,30.975,23.74,27.03,64.31,54.11,66.78,19.835,35.1197
2010-11-04,22.3293,31.56,43.73,25.025,60.62,43.91,37.03,88.8,40.05,56.92,146.79,20.97,31.225,24.13,27.14,65.0,55.59,70.52,20.535,35.6067
2010-11-05,23.7483,31.35,44.07,25.05,60.25,43.79,37.2,90.0,40.85,55.55,146.92,21.24,31.29,23.94,26.85,65.0,55.64,70.8,20.845,35.5443
2010-11-06,23.7483,31.35,44.07,25.05,60.25,43.79,37.2,90.0,40.85,55.55,146.92,21.24,31.29,23.94,26.85,65.0,55.64,70.8,20.845,35.5443
2010-11-07,23.7483,31.35,44.07,25.05,60.25,43.79,37.2,90.0,40.85,55.55,146.92,21.24,31.29,23.94,26.85,65.0,55.64,70.8,20.845,35.5443
2010-11-08,23.4538,31.19,43.9,24.845,59.81,43.23,37.06,90.31,40.5,55.71,146.46,21.23,31.23,23.91,26.81,64.75,54.99,70.62,20.92,35.4631
2010-11-09,22.8112,30.85,43.36,24.78,61.32,43.0,36.86,88.12,39.61,55.43,146.14,21.16,31.32,23.64,26.95,64.81,54.89,70.51,20.68,34.8574
2010-11-10,22.5703,30.78,43.56,24.79,61.85,43.53,36.99,88.48,39.9,55.77,146.55,21.04,31.275,23.805,26.94,64.57,55.78,70.78,20.805,34.9823
2010-11-11,23.1325,30.68,43.35,24.545,62.17,43.68,35.9275,87.98,39.75,55.36,145.43,21.21,31.4,23.94,26.68,64.36,55.02,71.48,20.87,34.9698
2010-11-12,22.8112,30.23,42.7,24.52,60.37,42.99,37.75,87.32,39.62,54.67,143.74,21.53,31.46,23.69,26.27,64.33,54.5,69.49,20.34,34.9698
2010-11-13,22.8112,30.23,42.7,24.52,60.37,42.99,37.75,87.32,39.62,54.67,143.74,21.53,31.46,23.69,26.27,64.33,54.5,69.49,20.34,34.9698
2010-11-14,22.8112,30.23,42.7,24.52,60.37,42.99,37.75,87.32,39.62,54.67,143.74,21.53,31.46,23.69,26.27,64.33,54.5,69.49,20.34,34.9698
2010-11-15,22.3829,30.19,42.7,24.225,60.18,43.04,37.25,86.39,39.23,54.54,143.64,21.295,31.48,23.5525,26.2,64.29,54.53,69.23,20.265,34.8074
2010-11-16,21.6332,29.58,41.93,24.09,59.54,41.78,36.92,85.87,38.54,52.91,142.24,21.07,31.04,24.33,25.81,63.45,53.26,66.3,20.23,33.9706
2010-11-17,21.4993,29.52,41.41,24.125,60.18,41.6,37.22,85.63,39.57,52.51,141.95,21.08,31.26,24.92,25.57,63.27,53.86,65.76,20.36,33.1089
2010-11-18,22.0348,29.79,42.25,24.61,61.32,42.21,37.58,87.09,40.25,53.37,144.36,21.015,31.92,25.11,25.8375,64.02,54.47,68.71,20.45,33.596
2010-11-19,22.0616,29.66,42.75,24.45,61.52,42.03,37.01,86.79,40.16,52.67,145.05,21.135,32.16,25.1,25.69,64.05,53.78,68.01,20.745,33.6459
2010-11-20,22.0616,29.66,42.75,24.45,61.52,42.03,37.01,86.79,40.16,52.67,145.05,21.135,32.16,25.1,25.69,64.05,53.78,68.01,20.745,33.6459
2010-11-21,22.0616,29.66,42.75,24.45,61.52,42.03,37.01,86.79,40.16,52.67,145.05,21.135,32.16,25.1,25.69,64.05,53.78,68.01,20.745,33.6459
2010-11-22,22.008,29.67,42.22,24.495,61.39,41.64,36.95,87.34,39.98,52.27,145.39,21.25,32.135,25.18,25.73,63.56,52.84,67.75,20.98,33.3587
2010-11-23,21.5529,29.09,41.95,23.82,60.6,40.89,36.12,86.14,39.01,51.1,143.18,21.0875,31.81,25.26,25.12,62.61,51.59,65.02,20.92,32.447
2010-11-24,23.2932,29.48,43.0,24.155,62.3,41.47,36.87,88.47,39.09,51.66,145.81,21.3875,32.305,25.45,25.37,62.6,52.44,66.45,21.195,32.6343
2010-11-25,23.2932,29.48,43.0,24.155,62.3,41.47,36.87,88.47,39.09,51.66,145.81,21.3875,32.305,25.45,25.37,62.6,52.44,66.45,21.195,32.6343
2010-11-26,23.079,29.21,42.27,24.005,61.67,40.93,36.7,87.5,39.42,50.79,143.9,21.34,32.055,25.73,25.25,62.13,51.54,65.51,21.145,32.3845
2010-11-27,23.079,29.21,42.27,24.005,61.67,40.93,36.7,87.5,39.42,50.79,143.9,21.34,32.055,25.73,25.25,62.13,51.54,65.51,21.145,32.3845
2010-11-28,23.079,29.21,42.27,24.005,61.67,40.93,36.7,87.5,39.42,50.79,143.9,21.34,32.055,25.73,25.25,62.13,51.54,65.51,21.145,32.3845
2010-11-29,22.7041,28.88,43.33,23.8,60.78,40.59,36.42,91.59,38.72,51.02,142.89,21.33,31.695,25.68,25.31,62.13,51.33,64.45,21.0,31.6477
2010-11-30,22.9183,28.99,43.22,23.465,60.82,40.0,36.51,91.12,38.28,50.56,141.46,21.1575,31.585,25.84,25.2575,61.07,50.68,64.13,21.235,31.298
2010-12-01,23.1058,29.49,44.3,23.795,61.98,40.62,37.12,93.99,38.66,51.5,144.41,21.48,32.35,25.62,26.04,62.15,51.95,66.53,21.895,32.3096
2010-12-02,22.6238,30.12,44.98,23.995,62.54,41.32,37.34,95.21,38.94,52.02,145.18,21.7,32.45,25.57,26.89,62.36,53.92,68.94,22.72,32.3595
2010-12-03,22.3561,30.39,44.88,24.115,63.94,41.49,37.59,95.0,39.19,52.58,145.38,21.69,32.25,26.02,27.02,62.33,53.64,70.08,22.99,32.4095
2010-12-04,22.3561,30.39,44.88,24.115,63.94,41.49,37.59,95.0,39.19,52.58,145.38,21.69,32.25,26.02,27.02,62.33,53.64,70.08,22.99,32.4095
2010-12-05,22.3561,30.39,44.88,24.115,63.94,41.49,37.59,95.0,39.19,52.58,145.38,21.69,32.25,26.02,27.02,62.33,53.64,70.08,22.99,32.4095
2010-12-06,22.4364,30.15,45.0,23.855,64.36,42.81,37.56,93.29,39.08,52.37,144.99,21.7,31.995,25.7375,26.84,62.06,53.45,70.31,23.01,32.6593
2010-12-07,21.3655,30.17,44.78,23.935,63.82,42.89,37.33,92.66,39.35,52.24,144.02,21.58,32.07,25.65,26.87,62.15,53.64,71.02,23.185,32.5843
2010-12-08,20.6426,29.95,45.63,24.065,63.24,43.27,36.97,92.81,39.45,52.1,144.98,21.82,32.195,25.56,27.23,62.63,55.46,69.63,23.09,32.447
2010-12-09,21.2985,30.44,45.81,23.835,62.69,42.79,36.74,94.09,39.58,52.5,144.3,21.81,32.415,25.47,27.08,62.87,56.33,69.73,23.405,32.3845
2010-12-10,21.3387,31.07,46.26,23.895,62.39,43.24,36.66,93.98,39.64,52.6,144.82,21.91,32.325,25.475,27.34,63.2,56.83,70.27,23.835,32.959
2010-12-11,21.3387,31.07,46.26,23.895,62.39,43.24,36.66,93.98,39.64,52.6,144.82,21.91,32.325,25.475,27.34,63.2,56.83,70.27,23.835,32.959
2010-12-12,21.3387,31.07,46.26,23.895,62.39,43.24,36.66,93.98,39.64,52.6,144.82,21.91,32.325,25.475,27.34,63.2,56.83,70.27,23.835,32.959
2010-12-13,20.9371,30.6925,46.37,24.39,62.56,43.43,37.13,94.31,39.98,52.63,144.28,21.5,32.425,25.4,27.245,63.19,56.74,71.2,23.79,33.4961
2010-12-14,20.6961,30.56,46.2,24.58,62.62,44.44,37.24,93.33,39.86,52.68,145.82,21.47,31.95,25.46,27.62,63.55,56.33,70.35,23.875,33.6834
2010-12-15,20.241,30.22,46.12,24.64,61.51,43.86,36.95,92.39,39.8,51.66,144.72,21.28,32.37,25.28,27.85,63.64,56.52,68.93,23.765,33.0215
2010-12-16,20.9906,30.35,44.57,24.615,61.65,43.75,37.01,94.22,40.04,51.55,144.55,21.3,32.67,25.36,27.9875,64.5,57.36,69.95,24.275,33.1838
2010-12-17,20.9103,30.03,44.01,23.19,62.04,43.25,37.05,93.07,39.51,51.01,145.0,21.46,32.85,25.66,27.9025,64.81,58.09,69.5,24.235,33.3275
2010-12-18,20.9103,30.03,44.01,23.19,62.04,43.25,37.05,93.07,39.51,51.01,145.0,21.46,32.85,25.66,27.9025,64.81,58.09,69.5,24.235,33.3275
2010-12-19,20.9103,30.03,44.01,23.19,62.04,43.25,37.05,93.07,39.51,51.01,145.0,21.46,32.85,25.66,27.9025,64.81,58.09,69.5,24.235,33.3275
2010-12-20,21.178,30.25,42.5,22.975,62.02,43.68,37.06,93.56,39.35,50.96,144.51,21.23,32.655,25.66,27.81,64.97,58.48,69.08,24.2,33.1838
2010-12-21,21.5529,30.15,43.23,22.96,62.24,43.54,37.33,93.69,39.09,51.27,145.74,21.1,32.745,25.87,28.07,64.87,59.56,70.72,24.08,33.0714
2010-12-22,21.2851,30.59,42.81,22.9,63.75,43.61,37.95,93.37,39.07,51.51,145.95,20.89,32.795,26.23,28.1875,64.95,59.95,70.97,24.095,32.9465
2010-12-23,20.83,30.21,42.77,23.015,64.0,44.0,37.7,93.01,39.18,51.47,145.89,20.84,32.79,25.88,28.3,65.24,59.38,70.39,24.2,33.2713
2010-12-24,20.83,30.21,42.77,23.015,64.0,44.0,37.7,93.01,39.18,51.47,145.89,20.84,32.79,25.88,28.3,65.24,59.38,70.39,24.2,33.2713
2010-12-25,20.83,30.21,42.77,23.015,64.0,44.0,37.7,93.01,39.18,51.47,145.89,20.84,32.79,25.88,28.3,65.24,59.38,70.39,24.2,33.2713
2010-12-26,20.83,30.21,42.77,23.015,64.0,44.0,37.7,93.01,39.18,51.47,145.89,20.84,32.79,25.88,28.3,65.24,59.38,70.39,24.2,33.2713
2010-12-27,21.1245,30.09,43.05,23.015,64.22,43.97,37.48,93.03,39.15,51.2,145.34,20.84,32.535,25.89,28.07,64.67,59.71,69.6,24.22,33.2338
2010-12-28,20.6693,29.78,42.79,22.97,64.31,44.11,37.36,93.02,39.14,51.04,145.71,20.88,32.68,25.7,28.01,64.76,59.46,70.03,24.135,33.1214
2010-12-29,20.83,29.75,42.86,23.09,64.58,43.95,37.6,92.8,39.28,51.29,146.52,20.94,32.725,25.71,27.97,64.4,58.95,70.82,24.19,32.8716
2010-12-30,20.7764,29.9,42.51,23.03,65.19,43.89,37.48,92.96,39.05,50.88,146.67,21.02,32.75,25.58,27.85,64.28,58.52,71.33,24.465,32.5219
2010-12-31,20.8568,30.08,42.92,23.095,65.52,44.17,37.51,93.01,39.22,51.04,146.76,21.03,32.885,25.43,27.91,64.33,58.71,71.66,24.245,33.0215
2011-01-01,20.8568,30.08,42.92,23.095,65.52,44.17,37.51,93.01,39.22,51.04,146.76,21.03,32.885,25.43,27.91,64.33,58.71,71.66,24.245,33.0215
